layer,rank,output_error,cos_sim,compression_ratio,bits_per_weight
model.layers.11.mlp.up_proj,32,0.138525,0.9888,2.9238,5.4722
model.layers.11.mlp.down_proj,4,0.031538,0.9885,3.6341,4.4028
model.layers.12.self_attn.q_proj,4,0.147571,0.9893,3.5776,4.4723
model.layers.12.self_attn.k_proj,4,0.155054,0.9878,3.4082,4.6946
model.layers.12.self_attn.v_proj,4,0.26908,0.9634,3.4082,4.6946
model.layers.12.self_attn.o_proj,32,0.162692,0.9873,2.6544,6.0278
model.layers.12.mlp.gate_proj,32,0.112334,0.9935,2.9238,5.4722
model.layers.12.mlp.up_proj,32,0.133034,0.9909,2.9238,5.4722
model.layers.12.mlp.down_proj,4,0.03969,0.9875,3.6341,4.4028
model.layers.13.self_attn.q_proj,4,0.152562,0.9913,3.5776,4.4723
model.layers.13.self_attn.k_proj,4,0.122561,0.9925,3.4082,4.6946
model.layers.13.self_attn.v_proj,4,0.267195,0.9667,3.4082,4.6946
model.layers.13.self_attn.o_proj,32,0.127557,0.991,2.6544,6.0278
model.layers.13.mlp.gate_proj,32,0.121423,0.9924,2.9238,5.4722
model.layers.13.mlp.up_proj,32,0.15868,0.9876,2.9238,5.4722
model.layers.13.mlp.down_proj,64,0.161161,0.9872,2.39,6.6945
model.layers.14.self_attn.q_proj,4,0.18747,0.9835,3.5776,4.4723
model.layers.14.self_attn.k_proj,4,0.182984,0.9823,3.4082,4.6946
model.layers.14.self_attn.v_proj,4,0.262211,0.965,3.4082,4.6946
model.layers.14.self_attn.o_proj,4,0.14719,0.9895,3.5776,4.4723
model.layers.14.mlp.gate_proj,32,0.116327,0.9932,2.9238,5.4722
model.layers.14.mlp.up_proj,32,0.156903,0.9879,2.9238,5.4722
model.layers.14.mlp.down_proj,64,0.159414,0.9874,2.39,6.6945
model.layers.15.self_attn.q_proj,4,0.155273,0.9887,3.5776,4.4723
model.layers.15.self_attn.k_proj,4,0.111893,0.9936,3.4082,4.6946
model.layers.15.self_attn.v_proj,4,0.284326,0.9572,3.4082,4.6946
model.layers.15.self_attn.o_proj,32,0.176885,0.9852,2.6544,6.0278
model.layers.15.mlp.gate_proj,32,0.122863,0.9926,2.9238,5.4722
model.layers.15.mlp.up_proj,32,0.16067,0.9874,2.9238,5.4722
model.layers.15.mlp.down_proj,64,0.163705,0.9864,2.39,6.6945
model.layers.16.self_attn.q_proj,4,0.16597,0.9885,3.5776,4.4723
model.layers.16.self_attn.k_proj,4,0.104781,0.994,3.4082,4.6946
model.layers.16.self_attn.v_proj,4,0.284689,0.9604,3.4082,4.6946
model.layers.16.self_attn.o_proj,32,0.137361,0.9908,2.6544,6.0278
model.layers.16.mlp.gate_proj,32,0.122324,0.9927,2.9238,5.4722
model.layers.16.mlp.up_proj,32,0.155969,0.9884,2.9238,5.4722
model.layers.16.mlp.down_proj,64,0.154164,0.9884,2.39,6.6945
model.layers.17.self_attn.q_proj,4,0.152112,0.9888,3.5776,4.4723
model.layers.17.self_attn.k_proj,4,0.130044,0.9912,3.4082,4.6946
model.layers.17.self_attn.v_proj,4,0.269131,0.962,3.4082,4.6946
model.layers.17.self_attn.o_proj,32,0.163373,0.9852,2.6544,6.0278
model.layers.17.mlp.gate_proj,32,0.120687,0.9929,2.9238,5.4722
model.layers.17.mlp.up_proj,32,0.158373,0.9878,2.9238,5.4722
model.layers.17.mlp.down_proj,64,0.164842,0.9862,2.39,6.6945
model.layers.18.self_attn.q_proj,4,0.163741,0.9873,3.5776,4.4723
model.layers.18.self_attn.k_proj,4,0.136122,0.9903,3.4082,4.6946
model.layers.18.self_attn.v_proj,4,0.305247,0.9567,3.4082,4.6946
model.layers.18.self_attn.o_proj,32,0.154024,0.9879,2.6544,6.0278
model.layers.18.mlp.gate_proj,32,0.111934,0.9936,2.9238,5.4722
model.layers.18.mlp.up_proj,32,0.15595,0.9883,2.9238,5.4722
model.layers.18.mlp.down_proj,64,0.156793,0.9885,2.39,6.6945
model.layers.19.self_attn.q_proj,4,0.178627,0.9858,3.5776,4.4723
model.layers.19.self_attn.k_proj,4,0.140336,0.99,3.4082,4.6946
model.layers.19.self_attn.v_proj,4,0.310609,0.9554,3.4082,4.6946
model.layers.19.self_attn.o_proj,16,0.151636,0.9881,3.1135,5.1389
model.layers.19.mlp.gate_proj,32,0.111483,0.9938,2.9238,5.4722
model.layers.19.mlp.up_proj,32,0.143325,0.99,2.9238,5.4722
model.layers.19.mlp.down_proj,64,0.155321,0.9881,2.39,6.6945
model.layers.20.self_attn.q_proj,4,0.174193,0.9863,3.5776,4.4723
model.layers.20.self_attn.k_proj,4,0.127375,0.9921,3.4082,4.6946
model.layers.20.self_attn.v_proj,4,0.28049,0.9599,3.4082,4.6946
model.layers.20.self_attn.o_proj,16,0.150901,0.9877,3.1135,5.1389
model.layers.20.mlp.gate_proj,32,0.107455,0.9942,2.9238,5.4722
model.layers.20.mlp.up_proj,32,0.143747,0.99,2.9238,5.4722
model.layers.20.mlp.down_proj,64,0.149246,0.9886,2.39,6.6945
model.layers.21.self_attn.q_proj,8,0.152929,0.9886,3.4082,4.6945
model.layers.21.self_attn.k_proj,8,0.109389,0.9932,3.1134,5.139
model.layers.21.self_attn.v_proj,8,0.301921,0.9468,3.1134,5.139
model.layers.21.self_attn.o_proj,16,0.156199,0.987,3.1135,5.1389
model.layers.21.mlp.gate_proj,32,0.118005,0.9929,2.9238,5.4722
model.layers.21.mlp.up_proj,32,0.141714,0.9903,2.9238,5.4722
model.layers.21.mlp.down_proj,32,0.147021,0.9894,2.9238,5.4722
model.layers.22.self_attn.q_proj,16,0.140258,0.9906,3.1135,5.1389
model.layers.22.self_attn.k_proj,16,0.131077,0.9911,2.6543,6.0279
model.layers.22.self_attn.v_proj,16,0.266855,0.9599,2.6543,6.0279
model.layers.22.self_attn.o_proj,8,0.096897,0.9956,3.4082,4.6945
model.layers.22.mlp.gate_proj,32,0.11281,0.9936,2.9238,5.4722
model.layers.22.mlp.up_proj,32,0.136401,0.991,2.9238,5.4722
model.layers.22.mlp.down_proj,64,0.144217,0.9897,2.39,6.6945
model.layers.23.self_attn.q_proj,16,0.132912,0.9915,3.1135,5.1389
model.layers.23.self_attn.k_proj,16,0.110276,0.9933,2.6543,6.0279
model.layers.23.self_attn.v_proj,16,0.243786,0.9579,2.6543,6.0279
model.layers.23.self_attn.o_proj,8,0.107606,0.9946,3.4082,4.6945
model.layers.23.mlp.gate_proj,32,0.105103,0.994,2.9238,5.4722
model.layers.23.mlp.up_proj,32,0.135866,0.9909,2.9238,5.4722
model.layers.23.mlp.down_proj,64,0.146558,0.9896,2.39,6.6945
model.layers.24.self_attn.q_proj,16,0.121146,0.9928,3.1135,5.1389
model.layers.24.self_attn.k_proj,16,0.099683,0.9951,2.6543,6.0279
model.layers.24.self_attn.v_proj,16,0.238789,0.9683,2.6543,6.0279
model.layers.24.self_attn.o_proj,8,0.122315,0.992,3.4082,4.6945
model.layers.24.mlp.gate_proj,32,0.112519,0.9932,2.9238,5.4722
model.layers.24.mlp.up_proj,32,0.129401,0.9917,2.9238,5.4722
model.layers.24.mlp.down_proj,64,0.144549,0.9901,2.39,6.6945
model.layers.25.self_attn.q_proj,16,0.119726,0.993,3.1135,5.1389
model.layers.25.self_attn.k_proj,16,0.097542,0.9951,2.6543,6.0279
