layer,rank,output_error,cos_sim,compression_ratio,bits_per_weight
model.layers.11.mlp.up_proj,32,0.183773,0.9831,3.2476,4.9267
model.layers.11.mlp.down_proj,64,0.212171,0.9786,2.8554,5.6034
model.layers.12.self_attn.q_proj,32,0.136571,0.9897,2.9669,5.3929
model.layers.12.self_attn.k_proj,32,0.086133,0.9961,1.8137,8.8216
model.layers.12.self_attn.v_proj,32,0.159468,0.9858,1.8137,8.8216
model.layers.12.self_attn.o_proj,32,0.233883,0.9739,2.9669,5.3929
model.layers.12.mlp.gate_proj,32,0.106392,0.9939,3.2476,4.9267
model.layers.12.mlp.up_proj,32,0.178214,0.984,3.2476,4.9267
model.layers.12.mlp.down_proj,64,0.206329,0.9804,2.8554,5.6034
model.layers.13.self_attn.q_proj,16,0.167059,0.985,3.3185,4.8214
model.layers.13.self_attn.k_proj,16,0.114573,0.9936,2.448,6.5359
model.layers.13.self_attn.v_proj,16,0.183819,0.9803,2.448,6.5359
model.layers.13.self_attn.o_proj,16,0.244239,0.9717,3.3185,4.8214
model.layers.13.mlp.gate_proj,32,0.106556,0.994,3.2476,4.9267
model.layers.13.mlp.up_proj,32,0.185014,0.9827,3.2476,4.9267
model.layers.13.mlp.down_proj,64,0.217089,0.9778,2.8554,5.6034
model.layers.14.self_attn.q_proj,32,0.158606,0.9861,2.9669,5.3929
model.layers.14.self_attn.k_proj,32,0.095282,0.9947,1.8137,8.8216
model.layers.14.self_attn.v_proj,32,0.182039,0.9818,1.8137,8.8216
model.layers.14.self_attn.o_proj,32,0.241389,0.9716,2.9669,5.3929
model.layers.14.mlp.gate_proj,16,0.110626,0.9935,3.4871,4.5883
model.layers.14.mlp.up_proj,16,0.178881,0.9841,3.4871,4.5883
model.layers.14.mlp.down_proj,64,0.236353,0.9737,2.8554,5.6034
model.layers.15.self_attn.q_proj,16,0.156329,0.987,3.3185,4.8214
model.layers.15.self_attn.k_proj,16,0.104808,0.9941,2.448,6.5359
model.layers.15.self_attn.v_proj,16,0.203055,0.9788,2.448,6.5359
model.layers.15.self_attn.o_proj,16,0.228695,0.9757,3.3185,4.8214
model.layers.15.mlp.gate_proj,16,0.109576,0.9933,3.4871,4.5883
model.layers.15.mlp.up_proj,16,0.188149,0.9826,3.4871,4.5883
model.layers.15.mlp.down_proj,64,0.223222,0.9757,2.8554,5.6034
model.layers.16.self_attn.q_proj,16,0.213016,0.9772,3.3185,4.8214
model.layers.16.self_attn.k_proj,16,0.102923,0.9945,2.448,6.5359
model.layers.16.self_attn.v_proj,16,0.281316,0.9531,2.448,6.5359
model.layers.16.self_attn.o_proj,32,0.17482,0.9848,2.9669,5.3929
model.layers.16.mlp.gate_proj,16,0.112228,0.9928,3.4871,4.5883
model.layers.16.mlp.up_proj,16,0.19094,0.9814,3.4871,4.5883
model.layers.16.mlp.down_proj,64,0.22437,0.9773,2.8554,5.6034
model.layers.17.self_attn.q_proj,16,0.183044,0.9829,3.3185,4.8214
model.layers.17.self_attn.k_proj,16,0.126196,0.992,2.448,6.5359
model.layers.17.self_attn.v_proj,16,0.235376,0.9689,2.448,6.5359
model.layers.17.self_attn.o_proj,4,0.240202,0.9754,3.6423,4.3929
model.layers.17.mlp.gate_proj,16,0.10318,0.9937,3.4871,4.5883
model.layers.17.mlp.up_proj,16,0.18737,0.9824,3.4871,4.5883
model.layers.17.mlp.down_proj,64,0.202109,0.9805,2.8554,5.6034
model.layers.18.self_attn.q_proj,32,0.175331,0.9842,2.9669,5.3929
model.layers.18.self_attn.k_proj,32,0.125646,0.9916,1.8137,8.8216
model.layers.18.self_attn.v_proj,32,0.204034,0.9722,1.8137,8.8216
model.layers.18.self_attn.o_proj,32,0.189267,0.9811,2.9669,5.3929
model.layers.18.mlp.gate_proj,16,0.103903,0.9941,3.4871,4.5883
model.layers.18.mlp.up_proj,16,0.180911,0.9835,3.4871,4.5883
model.layers.18.mlp.down_proj,64,0.191993,0.982,2.8554,5.6034
model.layers.19.self_attn.q_proj,16,0.168572,0.9857,3.3185,4.8214
model.layers.19.self_attn.k_proj,16,0.115522,0.9927,2.448,6.5359
model.layers.19.self_attn.v_proj,16,0.204125,0.9788,2.448,6.5359
model.layers.19.self_attn.o_proj,32,0.202158,0.9804,2.9669,5.3929
model.layers.19.mlp.gate_proj,16,0.109375,0.9935,3.4871,4.5883
model.layers.19.mlp.up_proj,16,0.186131,0.9828,3.4871,4.5883
model.layers.19.mlp.down_proj,64,0.205885,0.9802,2.8554,5.6034
model.layers.20.self_attn.q_proj,32,0.195005,0.9814,2.9669,5.3929
model.layers.20.self_attn.k_proj,32,0.119312,0.9927,1.8137,8.8216
model.layers.20.self_attn.v_proj,32,0.225023,0.9531,1.8137,8.8216
model.layers.20.self_attn.o_proj,4,0.252976,0.9725,3.6423,4.3929
model.layers.20.mlp.gate_proj,16,0.107213,0.9938,3.4871,4.5883
model.layers.20.mlp.up_proj,16,0.165602,0.9863,3.4871,4.5883
model.layers.20.mlp.down_proj,32,0.197513,0.9808,3.2476,4.9267
model.layers.21.self_attn.q_proj,32,0.195263,0.9817,2.9669,5.3929
model.layers.21.self_attn.k_proj,32,0.141891,0.9903,1.8137,8.8216
model.layers.21.self_attn.v_proj,32,0.181626,0.9734,1.8137,8.8216
model.layers.21.self_attn.o_proj,8,0.167215,0.9867,3.5275,4.5357
model.layers.21.mlp.gate_proj,8,0.090079,0.9955,3.6206,4.4192
model.layers.21.mlp.up_proj,8,0.144606,0.989,3.6206,4.4192
model.layers.21.mlp.down_proj,4,0.054451,0.984,3.6912,4.3346
model.layers.22.self_attn.q_proj,32,0.195047,0.9818,2.9669,5.3929
model.layers.22.self_attn.k_proj,32,0.129377,0.9916,1.8137,8.8216
model.layers.22.self_attn.v_proj,32,0.153064,0.9674,1.8137,8.8216
model.layers.22.self_attn.o_proj,16,0.324448,0.9387,3.3185,4.8214
model.layers.22.mlp.gate_proj,32,0.101893,0.995,3.2476,4.9267
model.layers.22.mlp.up_proj,32,0.141348,0.9899,3.2476,4.9267
model.layers.22.mlp.down_proj,32,0.19904,0.9815,3.2476,4.9267
model.layers.23.self_attn.q_proj,32,0.182404,0.9847,2.9669,5.3929
model.layers.23.self_attn.k_proj,32,0.146065,0.9884,1.8137,8.8216
model.layers.23.self_attn.v_proj,32,0.123452,0.9917,1.8137,8.8216
model.layers.23.self_attn.o_proj,32,0.196421,0.9772,2.9669,5.3929
model.layers.23.mlp.gate_proj,32,0.080473,0.9968,3.2476,4.9267
model.layers.23.mlp.up_proj,32,0.114563,0.9933,3.2476,4.9267
model.layers.23.mlp.down_proj,8,0.141187,0.9897,3.6206,4.4192
