source,tag,model,n_params_approx,baseline_ppl,compressed_ppl,ratio,gptq_ref,margin_vs_gptq,beats_gptq,angular,bit_budget_bpw,block_cov,cone_aware,dampening,device_map,group_dim,group_size,hadamard,hessian_batches,ip_metric,lloyd_max,max_memory_headroom_gib,max_memory_per_gpu,niter,qjl,qjl_n_projections,rank,residual_bits,strict_sequential,tangent,use_compensation,whitening
results_v6\patch_turbo_weights\step6_combo_3_5.json,step6_combo_3_5,smollm-135M,1.35e+08,21.3072,28.8317,1.35314,1.1761,-0.177044,0,0,4.2875,0,1,0.01,,0,128,1,1,0,1,,,,0,0,8,4,0,0,1,
results_v6\patch_turbo_weights\step7_combo_3_5_2.json,step7_combo_3_5_2,smollm-135M,1.35e+08,21.3072,74909.5,3515.69,1.1761,-3514.51,0,0,4.2875,0,1,0.01,,0,128,1,1,0,1,,,,1,0,8,4,0,0,1,
results_v6\patch_turbo_weights\step9_best_qwen2.5-0.5b.json,step9_best_qwen2.5-0.5b,qwen2.5-0.5B,4.94e+08,14.9356,18.4088,1.23255,1.1407,-0.091847,0,0,4.2875,0,0,0.01,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\patch_turbo_weights\step9_best_tinyllama-1.1b.json,step9_best_tinyllama-1.1b,tinyllama-1.1B,1.1e+09,9.4244,10.2621,1.08889,1.0807,-0.008185,0,0,4.2875,0,0,0.01,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\scale_test\qwen2.5-3b\block_damp005_rep0_seed42.json,"qwen2.5-3b_{'strict_sequential': False, 'dampening': 0.05}_42",qwen2.5-3b,,8.9756,9.8049,1.09239,1.0855,-0.006892,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen2.5-3b\block_damp005_rep1_seed43.json,"qwen2.5-3b_{'strict_sequential': False, 'dampening': 0.05}_43",qwen2.5-3b,,8.9756,9.6228,1.07211,1.0855,0.013387,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen2.5-3b\block_damp005_rep2_seed44.json,"qwen2.5-3b_{'strict_sequential': False, 'dampening': 0.05}_44",qwen2.5-3b,,8.9756,9.7496,1.08624,1.0855,-0.000741,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen2.5-3b\block_damp01_rep0_seed42.json,"qwen2.5-3b_{'strict_sequential': False, 'dampening': 0.1}_42",qwen2.5-3b,,8.9756,9.7734,1.08889,1.0855,-0.003391,0,0,4.2875,0,0,0.1,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen2.5-3b\block_damp01_rep1_seed43.json,"qwen2.5-3b_{'strict_sequential': False, 'dampening': 0.1}_43",qwen2.5-3b,,8.9756,9.5961,1.06913,1.0855,0.016367,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen2.5-3b\block_damp01_rep2_seed44.json,"qwen2.5-3b_{'strict_sequential': False, 'dampening': 0.1}_44",qwen2.5-3b,,8.9756,9.7117,1.08202,1.0855,0.003482,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,3,,5,0,0,8,4,0,0,1,0
results_v6\scale_test\qwen2.5-3b\strict_damp004_rep0_seed42.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.04}_42",qwen2.5-3b,,8.9756,9.8694,1.09958,1.0855,-0.014084,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen2.5-3b\strict_damp004_rep1_seed43.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.04}_43",qwen2.5-3b,,8.9756,9.7075,1.08155,1.0855,0.003951,1,0,4.2875,0,0,0.04,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen2.5-3b\strict_damp004_rep2_seed44.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.04}_44",qwen2.5-3b,,8.9756,9.7103,1.08186,1.0855,0.003638,1,0,4.2875,0,0,0.04,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen2.5-3b\strict_damp005_rep0_seed42.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.05}_42",qwen2.5-3b,,8.9756,9.8638,1.09895,1.0855,-0.013457,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen2.5-3b\strict_damp005_rep1_seed43.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.05}_43",qwen2.5-3b,,8.9756,9.6723,1.07763,1.0855,0.007872,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen2.5-3b\strict_damp005_rep2_seed44.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.05}_44",qwen2.5-3b,,8.9756,9.8648,1.09907,1.0855,-0.01357,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen2.5-3b\strict_damp006_rep0_seed42.json,"qwen2.5-3b_{'strict_sequential': True, 'dampening': 0.06}_42",qwen2.5-3b,,8.9756,9.8495,1.09737,1.0855,-0.01187,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
