source,tag,model,n_params_approx,baseline_ppl,compressed_ppl,ratio,gptq_ref,margin_vs_gptq,beats_gptq,angular,bit_budget_bpw,block_cov,cone_aware,dampening,device_map,group_dim,group_size,hadamard,hessian_batches,ip_metric,lloyd_max,max_memory_headroom_gib,max_memory_per_gpu,niter,qjl,qjl_n_projections,rank,residual_bits,strict_sequential,tangent,use_compensation,whitening
results_v6\stat_grid\strict_damp005_rep2_seed44.json,strict_damp005_rep2_seed44,smollm-135M,1.35e+08,21.3072,25.0072,1.17365,1.1761,0.00245,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp005_rep3_seed45.json,strict_damp005_rep3_seed45,smollm-135M,1.35e+08,21.3072,25.418,1.19293,1.1761,-0.016828,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp006_rep0_seed42.json,strict_damp006_rep0_seed42,smollm-135M,1.35e+08,21.3072,25.0424,1.1753,1.1761,0.000798,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp006_rep1_seed43.json,strict_damp006_rep1_seed43,smollm-135M,1.35e+08,21.3072,25.3187,1.18827,1.1761,-0.012169,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\strict_damp006_rep2_seed44.json,strict_damp006_rep2_seed44,smollm-135M,1.35e+08,21.3072,25.0762,1.17689,1.1761,-0.000789,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\block_damp005_rep0_seed42.json,block_damp005_rep0_seed42,tinyllama-1.1B,1.1e+09,9.4244,10.0749,1.06902,1.0807,0.011676,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\tinyllama-1.1b\block_damp005_rep1_seed43.json,block_damp005_rep1_seed43,tinyllama-1.1B,1.1e+09,9.4244,9.9734,1.05824,1.0807,0.022456,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\tinyllama-1.1b\block_damp005_rep2_seed44.json,block_damp005_rep2_seed44,tinyllama-1.1B,1.1e+09,9.4244,10.0764,1.06918,1.0807,0.011517,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\tinyllama-1.1b\block_damp01_rep0_seed42.json,block_damp01_rep0_seed42,tinyllama-1.1B,1.1e+09,9.4244,9.9756,1.05848,1.0807,0.022215,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\tinyllama-1.1b\block_damp01_rep1_seed43.json,block_damp01_rep1_seed43,tinyllama-1.1B,1.1e+09,9.4244,9.9707,1.05796,1.0807,0.022737,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\tinyllama-1.1b\block_damp01_rep2_seed44.json,block_damp01_rep2_seed44,tinyllama-1.1B,1.1e+09,9.4244,9.9831,1.05928,1.0807,0.021418,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp004_rep0_seed42.json,strict_damp004_rep0_seed42,tinyllama-1.1B,1.1e+09,9.4244,10.0491,1.06628,1.0807,0.014415,1,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp004_rep1_seed43.json,strict_damp004_rep1_seed43,tinyllama-1.1B,1.1e+09,9.4244,10.004,1.06149,1.0807,0.019207,1,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp004_rep2_seed44.json,strict_damp004_rep2_seed44,tinyllama-1.1B,1.1e+09,9.4244,10.0853,1.07012,1.0807,0.010579,1,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp005_rep0_seed42.json,strict_damp005_rep0_seed42,tinyllama-1.1B,1.1e+09,9.4244,10.0385,1.06515,1.0807,0.015546,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp005_rep1_seed43.json,strict_damp005_rep1_seed43,tinyllama-1.1B,1.1e+09,9.4244,9.9668,1.05754,1.0807,0.023156,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp005_rep2_seed44.json,strict_damp005_rep2_seed44,tinyllama-1.1B,1.1e+09,9.4244,10.0757,1.0691,1.0807,0.011601,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp005_rep3_seed45.json,strict_damp005_rep3_seed45,tinyllama-1.1B,1.1e+09,9.4244,10.05,1.06638,1.0807,0.01432,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp006_rep0_seed42.json,strict_damp006_rep0_seed42,tinyllama-1.1B,1.1e+09,9.4244,10.0212,1.06333,1.0807,0.017375,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp006_rep1_seed43.json,strict_damp006_rep1_seed43,tinyllama-1.1B,1.1e+09,9.4244,9.9986,1.06093,1.0807,0.019773,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\tinyllama-1.1b\strict_damp006_rep2_seed44.json,strict_damp006_rep2_seed44,tinyllama-1.1B,1.1e+09,9.4244,9.9925,1.06028,1.0807,0.020422,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\variance_diag\strict_damp005_seed42_run0.json,strict_damp005_seed42_run0,smollm-135M,1.35e+08,21.3072,24.9779,1.17228,1.1761,0.003824,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\variance_diag\strict_damp005_seed42_run1.json,strict_damp005_seed42_run1,smollm-135M,1.35e+08,21.3072,24.9779,1.17228,1.1761,0.003824,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\variance_diag\strict_damp005_seed42_run2.json,strict_damp005_seed42_run2,smollm-135M,1.35e+08,21.3072,24.9779,1.17228,1.1761,0.003824,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\whitening_test\qwen2.5-0.5b_baseline_seed42.json,qwen2.5-0.5b_baseline_seed42,qwen2.5-0.5B,4.94e+08,14.9356,17.51,1.17237,1.1407,-0.031669,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,0
results_v6\whitening_test\qwen2.5-0.5b_baseline_seed43.json,qwen2.5-0.5b_baseline_seed43,qwen2.5-0.5B,4.94e+08,14.9356,17.4656,1.1694,1.1407,-0.028696,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,0
results_v6\whitening_test\qwen2.5-0.5b_baseline_seed44.json,qwen2.5-0.5b_baseline_seed44,qwen2.5-0.5B,4.94e+08,14.9356,17.8368,1.19425,1.1407,-0.053551,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,0
results_v6\whitening_test\qwen2.5-0.5b_whitened_seed42.json,qwen2.5-0.5b_whitened_seed42,qwen2.5-0.5B,4.94e+08,14.9356,18.4139,1.23289,1.1407,-0.092189,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,1
results_v6\whitening_test\qwen2.5-0.5b_whitened_seed43.json,qwen2.5-0.5b_whitened_seed43,qwen2.5-0.5B,4.94e+08,14.9356,17.9308,1.20054,1.1407,-0.059841,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,1
results_v6\whitening_test\qwen2.5-0.5b_whitened_seed44.json,qwen2.5-0.5b_whitened_seed44,qwen2.5-0.5B,4.94e+08,14.9356,18.0856,1.21091,1.1407,-0.070207,0,0,4.2875,0,0,0.06,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,1
results_v6\whitening_test\smollm-135m_baseline_seed42.json,smollm-135m_baseline_seed42,smollm-135M,1.35e+08,21.3072,24.9779,1.17228,1.1761,0.003824,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,0
results_v6\whitening_test\smollm-135m_baseline_seed43.json,smollm-135m_baseline_seed43,smollm-135M,1.35e+08,21.3072,25.1069,1.17833,1.1761,-0.002228,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,0
results_v6\whitening_test\smollm-135m_baseline_seed44.json,smollm-135m_baseline_seed44,smollm-135M,1.35e+08,21.3072,25.0072,1.17365,1.1761,0.00245,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,0
results_v6\whitening_test\smollm-135m_whitened_seed42.json,smollm-135m_whitened_seed42,smollm-135M,1.35e+08,21.3072,25.1243,1.17915,1.1761,-0.003047,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,1
results_v6\whitening_test\smollm-135m_whitened_seed43.json,smollm-135m_whitened_seed43,smollm-135M,1.35e+08,21.3072,25.1847,1.18198,1.1761,-0.005881,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,1
results_v6\whitening_test\smollm-135m_whitened_seed44.json,smollm-135m_whitened_seed44,smollm-135M,1.35e+08,21.3072,25.2046,1.18292,1.1761,-0.006816,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,5,0,0,8,4,1,0,1,1
results_v6\whitening_test\tinyllama-1.1b_baseline_seed42.json,tinyllama-1.1b_baseline_seed42,tinyllama-1.1B,1.1e+09,9.4244,9.9756,1.05848,1.0807,0.022215,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,5,0,0,8,4,0,0,1,0
results_v6\whitening_test\tinyllama-1.1b_baseline_seed43.json,tinyllama-1.1b_baseline_seed43,tinyllama-1.1B,1.1e+09,9.4244,9.9707,1.05796,1.0807,0.022737,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,5,0,0,8,4,0,0,1,0
results_v6\whitening_test\tinyllama-1.1b_baseline_seed44.json,tinyllama-1.1b_baseline_seed44,tinyllama-1.1B,1.1e+09,9.4244,9.9831,1.05928,1.0807,0.021418,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,5,0,0,8,4,0,0,1,0
results_v6\whitening_test\tinyllama-1.1b_whitened_seed42.json,tinyllama-1.1b_whitened_seed42,tinyllama-1.1B,1.1e+09,9.4244,10.0513,1.06652,1.0807,0.014183,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,5,0,0,8,4,0,0,1,1
results_v6\whitening_test\tinyllama-1.1b_whitened_seed43.json,tinyllama-1.1b_whitened_seed43,tinyllama-1.1B,1.1e+09,9.4244,10.0486,1.06623,1.0807,0.014468,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,5,0,0,8,4,0,0,1,1
results_v6\whitening_test\tinyllama-1.1b_whitened_seed44.json,tinyllama-1.1b_whitened_seed44,tinyllama-1.1B,1.1e+09,9.4244,10.0651,1.06798,1.0807,0.012718,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,5,0,0,8,4,0,0,1,1
